pair_id,set,style,arch,lattice_balance,truth_found,p_present,err_px
pair_0143,A_nominal,dram,dram,0.51152,1,0.035148,220.474
pair_0144,A_nominal,dram,dram,0.47273,1,0.994288,0.165
pair_0145,B_degraded,dram,dram,0.49371,1,0.400046,253.514
pair_0146,C_absent,dram,dram,0.54253,0,0.521891,nan
pair_0147,B_degraded,dram,dram,0.93716,1,0.501021,1038.248
pair_0148,A_nominal,finfet,finfet,0.26340,1,0.258627,39.282
pair_0149,B_degraded,finfet,finfet,0.30751,1,0.118575,62.839
pair_0150,A_nominal,dram,dram,0.40986,1,0.985907,0.230
pair_0151,A_nominal,dram,dram,0.40649,1,0.996737,0.076
pair_0152,B_degraded,finfet,finfet,0.24984,1,0.989293,0.432
pair_0153,C_absent,dram,dram,0.41608,0,0.274765,nan
pair_0154,B_degraded,finfet,finfet,0.34084,1,0.149836,10.822
pair_0155,B_degraded,dram,finfet,0.26319,1,0.163736,603.434
pair_0156,C_absent,dram,dram,0.88007,0,0.278458,nan
pair_0157,A_nominal,dram,dram,0.38273,1,0.996544,0.175
pair_0158,C_absent,dram,dram,0.71972,0,0.098267,nan
pair_0159,A_nominal,finfet,finfet,0.16579,1,0.979421,0.046
pair_0161,C_absent,dram,dram,0.64291,0,0.162249,nan
pair_0162,B_degraded,dram,dram,0.79598,1,0.991452,0.835
pair_0163,A_nominal,dram,dram,0.43696,1,0.992991,0.169
pair_0164,B_degraded,dram,dram,0.44795,1,0.160996,2.168
pair_0165,C_absent,finfet,finfet,0.32418,0,0.258225,nan
pair_0166,C_absent,finfet,finfet,0.24994,0,0.242618,nan
pair_0167,C_absent,finfet,finfet,0.26810,0,0.259392,nan
pair_0168,B_degraded,finfet,finfet,0.21425,1,0.360260,560.917
pair_0169,A_nominal,finfet,finfet,0.24600,1,0.980910,0.078
pair_0170,B_degraded,dram,dram,0.66823,1,0.354031,438.625
pair_0171,B_degraded,dram,dram,0.60369,1,0.996647,0.203
pair_0172,B_degraded,dram,dram,0.59961,1,0.995616,0.307
pair_0173,A_nominal,dram,dram,0.89788,1,0.978273,0.297
pair_0174,A_nominal,finfet,finfet,0.20485,1,0.344654,139.688
pair_0175,A_nominal,finfet,dram,0.38951,1,0.521075,16.116
pair_0176,B_degraded,dram,finfet,0.28896,1,0.248503,0.385
pair_0177,A_nominal,dram,finfet,0.29046,1,0.975825,0.165
pair_0179,A_nominal,finfet,finfet,0.27129,1,0.986272,0.320
pair_0180,A_nominal,finfet,finfet,0.28241,1,0.988624,0.245
pair_0181,A_nominal,finfet,finfet,0.23665,1,0.178498,627.766
pair_0182,A_nominal,finfet,dram,0.46888,1,0.293946,54.225
pair_0183,C_absent,finfet,finfet,0.18822,0,0.977676,nan
pair_0184,B_degraded,finfet,finfet,0.23861,1,0.258680,312.668
pair_0185,C_absent,dram,dram,0.67717,0,0.415026,nan
pair_0186,A_nominal,finfet,finfet,0.21804,1,0.981776,0.243
pair_0187,A_nominal,finfet,finfet,0.29484,1,0.846186,66.481
pair_0188,A_nominal,dram,dram,0.69013,1,0.974725,0.112
pair_0189,A_nominal,dram,dram,0.65849,1,0.056067,799.170
pair_0190,A_nominal,finfet,finfet,0.31984,1,0.971027,0.080
pair_0191,A_nominal,dram,dram,0.54407,1,0.997092,0.189
pair_0193,B_degraded,finfet,finfet,0.25136,1,0.323462,814.246
pair_0194,C_absent,dram,dram,0.91160,0,0.475695,nan
pair_0195,A_nominal,dram,dram,0.38602,1,0.072410,495.208
pair_0196,A_nominal,dram,dram,0.51972,1,0.990624,0.117
pair_0197,B_degraded,finfet,finfet,0.15316,1,0.985668,0.319
pair_0198,C_absent,finfet,finfet,0.21165,0,0.121388,nan
pair_0199,A_nominal,finfet,finfet,0.29051,1,0.989515,0.073
pair_0200,A_nominal,finfet,finfet,0.21764,1,0.958716,0.283
pair_0201,B_degraded,dram,dram,0.51179,1,0.948202,0.558
pair_0202,B_degraded,dram,dram,0.74723,1,0.992082,0.145
pair_0204,B_degraded,dram,dram,0.46700,1,0.995567,0.730
pair_0205,C_absent,finfet,dram,0.35729,0,0.211593,nan
pair_0206,C_absent,dram,dram,0.92420,0,0.907262,nan
pair_0207,B_degraded,finfet,dram,0.39589,1,0.369986,14.860
pair_0208,B_degraded,finfet,finfet,0.34894,1,0.488137,64.892
pair_0209,A_nominal,finfet,finfet,0.29652,1,0.989633,0.183
pair_0210,C_absent,dram,dram,0.46235,0,0.053881,nan
pair_0211,C_absent,dram,dram,0.66563,0,0.856092,nan
pair_0212,A_nominal,dram,dram,0.70158,1,0.992379,0.092
pair_0213,B_degraded,finfet,finfet,0.16018,1,0.994942,0.465
pair_0214,B_degraded,finfet,dram,0.40320,1,0.283746,466.623
pair_0215,B_degraded,finfet,finfet,0.32987,1,0.589499,81.494
pair_0216,A_nominal,finfet,finfet,0.32630,1,0.978592,0.226
pair_0217,A_nominal,finfet,finfet,0.26604,1,0.989258,0.038
pair_0218,C_absent,dram,dram,0.47821,0,0.123435,nan
pair_0219,A_nominal,finfet,dram,0.43686,1,0.985649,0.234
pair_0220,B_degraded,finfet,finfet,0.25364,1,0.303856,648.468
pair_0221,A_nominal,dram,finfet,0.24322,1,0.956708,0.129
pair_0222,B_degraded,dram,dram,0.38438,1,0.988061,1.086
pair_0223,C_absent,finfet,finfet,0.22494,0,0.377546,nan
pair_0224,C_absent,finfet,finfet,0.26421,0,0.192632,nan
pair_0225,B_degraded,dram,dram,0.43301,1,0.985099,0.249
pair_0226,A_nominal,finfet,finfet,0.18627,1,0.986228,0.209
pair_0227,A_nominal,dram,dram,0.54423,1,0.995176,0.279
pair_0228,B_degraded,dram,dram,0.59977,1,0.991707,0.503
pair_0229,C_absent,dram,dram,0.40488,0,0.588031,nan
pair_0230,A_nominal,finfet,finfet,0.26925,1,0.811530,54.331
pair_0231,C_absent,dram,dram,0.93886,0,0.607953,nan
pair_0233,B_degraded,dram,dram,0.70856,1,0.986467,0.629
pair_0234,B_degraded,finfet,finfet,0.23994,1,0.265228,798.212
pair_0235,B_degraded,finfet,finfet,0.19007,1,0.131039,69.695
pair_0237,A_nominal,dram,dram,0.43155,1,0.954011,0.265
pair_0238,B_degraded,dram,dram,0.51989,1,0.994043,0.474
pair_0239,B_degraded,dram,dram,0.96756,1,0.941092,0.078
