pair_id,set,style,arch,lattice_balance,truth_found,p_present,err_px
pair_0078,B_degraded,finfet,finfet,0.21182,1,0.317711,127.769
pair_0079,B_degraded,dram,dram,0.50665,1,0.992783,0.366
pair_0081,B_degraded,dram,dram,0.70551,1,0.101754,718.386
pair_0082,B_degraded,dram,dram,0.95432,1,0.981914,0.116
pair_0083,B_degraded,dram,dram,0.51367,1,0.430588,473.079
pair_0084,B_degraded,dram,dram,0.92594,1,0.691756,540.165
pair_0085,C_absent,dram,dram,0.99743,0,0.095231,nan
pair_0086,B_degraded,finfet,finfet,0.30903,1,0.773239,74.268
pair_0087,C_absent,dram,dram,0.91872,0,0.903336,nan
pair_0088,A_nominal,dram,dram,0.97352,1,0.989662,0.038
pair_0089,A_nominal,dram,dram,0.44084,1,0.028520,460.044
pair_0090,C_absent,finfet,finfet,0.32098,0,0.328366,nan
pair_0091,A_nominal,dram,dram,0.80189,1,0.993478,0.137
pair_0092,B_degraded,dram,dram,0.50172,1,0.952586,0.086
pair_0094,C_absent,finfet,finfet,0.25808,0,0.314165,nan
pair_0095,C_absent,finfet,finfet,0.26262,0,0.351207,nan
pair_0096,B_degraded,finfet,finfet,0.26990,1,0.542006,49.308
pair_0097,A_nominal,dram,dram,0.50968,1,0.995738,0.076
pair_0098,A_nominal,finfet,finfet,0.17646,1,0.991332,0.340
pair_0099,B_degraded,finfet,finfet,0.18947,1,0.989664,0.069
pair_0100,C_absent,finfet,finfet,0.14186,0,0.166647,nan
pair_0101,B_degraded,finfet,finfet,0.15660,1,0.979166,0.347
pair_0102,B_degraded,dram,dram,0.46447,1,0.306650,831.660
pair_0103,A_nominal,dram,dram,0.64187,1,0.136110,747.191
pair_0104,B_degraded,dram,dram,0.39349,1,0.790510,1.151
pair_0105,C_absent,dram,dram,0.45343,0,0.884966,nan
pair_0106,B_degraded,dram,dram,0.90689,1,0.990802,0.418
pair_0107,A_nominal,finfet,dram,0.36570,1,0.902596,63.560
pair_0108,A_nominal,dram,dram,0.80211,1,0.979251,0.161
pair_0109,B_degraded,dram,dram,0.77845,1,0.991267,0.588
pair_0110,B_degraded,dram,dram,0.47793,1,0.986855,0.357
pair_0111,B_degraded,dram,dram,0.44415,1,0.987495,0.046
pair_0112,C_absent,dram,dram,0.42125,0,0.964351,nan
pair_0113,A_nominal,dram,dram,0.36404,1,0.995796,0.387
pair_0114,B_degraded,dram,dram,0.41367,1,0.536258,419.861
pair_0116,A_nominal,finfet,finfet,0.17808,1,0.991418,0.267
pair_0117,C_absent,dram,dram,0.59094,0,0.953197,nan
pair_0118,B_degraded,finfet,finfet,0.20576,1,0.382699,1.037
pair_0119,B_degraded,dram,dram,0.60199,1,0.426572,558.675
