pair_id,set,severity,err,found,seconds,peak
pair_0059,B_degraded,4,583.324,0,4.74,0.3504
pair_0060,B_degraded,2,0.158,1,2.26,0.9497
pair_0061,A_nominal,0,0.142,1,2.33,0.8115
pair_0062,A_nominal,0,0.048,1,2.33,0.9801
pair_0063,B_degraded,4,64.445,0,4.76,0.3251
pair_0064,B_degraded,1,0.095,1,2.39,0.8510
pair_0065,B_degraded,4,598.422,0,4.73,0.2188
pair_0066,B_degraded,4,0.237,1,2.24,0.6819
pair_0067,B_degraded,3,351.320,0,4.80,0.5821
pair_0068,A_nominal,0,0.132,1,2.36,0.9599
pair_0069,B_degraded,2,0.305,1,2.18,0.6951
pair_0070,B_degraded,2,0.146,1,2.32,0.8614
pair_0071,B_degraded,2,0.583,1,2.24,0.9130
pair_0072,A_nominal,0,552.335,0,5.51,0.5497
pair_0073,B_degraded,1,0.224,1,2.40,0.8234
pair_0074,B_degraded,4,661.782,0,4.77,0.2066
pair_0075,A_nominal,0,315.889,0,5.56,0.3585
pair_0076,B_degraded,2,0.862,1,2.35,0.7166
pair_0077,B_degraded,1,0.261,1,2.33,0.8222
pair_0078,A_nominal,0,0.056,1,2.32,0.8680
pair_0079,B_degraded,3,1.665,1,2.32,0.3939
pair_0080,B_degraded,1,0.103,1,2.34,0.7586
pair_0081,B_degraded,1,0.170,1,2.35,0.6668
pair_0082,B_degraded,2,38.879,1,4.83,0.5064
pair_0083,A_nominal,0,0.240,1,2.25,0.8432
pair_0084,B_degraded,3,45.613,1,4.87,0.3798
pair_0085,B_degraded,1,0.374,1,2.42,0.8352
pair_0086,A_nominal,0,0.130,1,3.13,0.8892
pair_0087,B_degraded,3,0.651,1,2.40,0.9058
pair_0088,A_nominal,0,0.895,1,2.79,0.7726
pair_0089,A_nominal,0,54.691,0,5.60,0.4190
pair_0090,B_degraded,3,332.015,0,4.69,0.2994
pair_0091,B_degraded,2,27.150,0,2.45,0.6237
pair_0092,B_degraded,3,0.692,1,2.24,0.5652
pair_0093,B_degraded,3,1.061,1,5.55,0.3165
pair_0094,B_degraded,3,746.978,0,4.97,0.3519
pair_0095,B_degraded,3,0.818,1,2.31,0.8297
pair_0096,A_nominal,0,337.876,0,4.90,0.4400
pair_0097,A_nominal,0,0.480,1,2.20,0.9179
pair_0098,B_degraded,4,654.173,1,2.42,0.6508
pair_0099,B_degraded,1,0.026,1,2.36,0.8319
pair_0100,B_degraded,2,0.060,1,2.41,0.9102
pair_0101,A_nominal,0,0.160,1,2.36,0.8894
pair_0102,A_nominal,0,11.125,0,2.35,0.8350
pair_0103,B_degraded,4,377.634,0,4.75,0.1999
pair_0104,B_degraded,4,182.194,0,4.73,0.2659
pair_0105,B_degraded,1,0.228,1,2.44,0.9784
pair_0106,B_degraded,1,54.133,1,2.45,0.8912
pair_0107,A_nominal,0,55.711,1,2.33,0.6702
pair_0108,B_degraded,2,0.287,1,2.16,0.9389
pair_0109,B_degraded,2,0.282,1,4.56,0.3948
pair_0110,B_degraded,3,389.830,0,4.56,0.4369
pair_0111,B_degraded,4,549.291,0,4.73,0.2532
pair_0112,B_degraded,4,63.699,0,4.75,0.5859
pair_0113,B_degraded,2,0.148,1,2.45,0.8434
pair_0114,B_degraded,2,0.430,1,2.30,0.7634
pair_0115,A_nominal,0,0.308,1,2.37,0.8258
pair_0116,B_degraded,1,485.618,0,4.70,0.3469
pair_0117,A_nominal,0,36.525,1,2.37,0.7098
pair_0118,A_nominal,0,664.120,0,4.74,0.3955
pair_0119,B_degraded,4,536.295,0,5.62,0.3639
pair_0120,B_degraded,2,58.220,1,4.73,0.4480
pair_0121,B_degraded,1,340.559,0,4.76,0.3106
pair_0122,B_degraded,3,344.929,0,4.80,0.4673
pair_0123,B_degraded,2,0.337,1,2.38,0.9676
pair_0124,B_degraded,2,0.176,1,4.69,0.5490
pair_0125,A_nominal,0,10.714,0,4.75,0.5198
pair_0126,B_degraded,4,688.632,0,4.71,0.2178
pair_0127,B_degraded,1,0.262,1,2.20,0.6380
pair_0128,B_degraded,2,855.512,0,4.73,0.2462
pair_0129,B_degraded,2,0.191,1,2.43,0.5864
pair_0130,B_degraded,3,0.015,1,2.43,0.9303
pair_0131,B_degraded,1,68.669,0,2.37,0.7365
pair_0132,A_nominal,0,0.060,1,2.32,0.8943
pair_0133,A_nominal,0,0.063,1,2.26,0.8668
pair_0134,B_degraded,3,447.098,0,4.67,0.2619
pair_0135,B_degraded,1,0.379,1,2.48,0.7060
pair_0136,B_degraded,3,0.720,1,2.31,0.8376
pair_0137,B_degraded,4,193.705,1,5.63,0.4416
pair_0138,A_nominal,0,178.606,0,4.68,0.2496
pair_0139,B_degraded,2,1.058,1,2.37,0.7169
pair_0140,B_degraded,3,0.290,1,2.30,0.3879
pair_0141,A_nominal,0,0.024,1,2.25,0.9683
pair_0142,B_degraded,3,26.800,0,5.52,0.4015
pair_0143,B_degraded,2,147.774,1,4.69,0.5926
pair_0144,A_nominal,0,0.252,1,2.33,0.8777
pair_0145,A_nominal,0,0.080,1,2.26,0.8967
pair_0146,B_degraded,4,47.315,0,4.68,0.2143
pair_0147,B_degraded,3,1.658,1,2.66,0.8836
pair_0148,A_nominal,0,240.223,0,2.38,0.6377
pair_0149,B_degraded,2,0.319,1,2.31,0.7682
pair_0150,A_nominal,0,0.083,1,2.29,0.9131
pair_0151,B_degraded,1,792.138,0,4.55,0.3980
pair_0152,A_nominal,0,67.715,1,2.21,0.6372
pair_0153,A_nominal,0,0.019,1,2.38,0.9751
pair_0154,B_degraded,3,632.617,0,4.97,0.5060
pair_0155,B_degraded,3,0.901,1,2.31,0.3289
pair_0156,B_degraded,4,661.062,0,4.98,0.3181
pair_0157,B_degraded,3,275.333,0,4.67,0.5649
pair_0158,B_degraded,3,665.642,1,2.34,0.6363
pair_0159,B_degraded,4,555.819,0,4.76,0.2387
pair_0160,B_degraded,4,0.268,1,2.35,0.8364
pair_0161,A_nominal,0,0.274,1,2.33,0.7293
pair_0162,B_degraded,2,788.648,0,2.42,0.6321
pair_0163,B_degraded,4,486.912,0,4.80,0.2877
pair_0164,B_degraded,3,411.562,1,2.53,0.6744
pair_0165,B_degraded,3,511.706,1,2.30,0.3817
pair_0166,B_degraded,2,34.533,1,4.92,0.6066
pair_0167,B_degraded,1,0.120,1,2.31,0.7001
pair_0168,B_degraded,2,469.797,0,2.34,0.8783
pair_0169,B_degraded,2,0.346,1,2.31,0.7900
pair_0170,A_nominal,0,538.783,1,2.30,0.4758
pair_0171,B_degraded,2,22.220,0,2.57,0.7416
pair_0172,B_degraded,2,0.123,1,2.27,0.9341
pair_0173,B_degraded,2,0.552,1,2.31,0.5819
pair_0174,B_degraded,1,0.109,1,2.24,0.8713
pair_0175,B_degraded,3,210.543,1,2.29,0.8717
pair_0176,A_nominal,0,0.072,1,2.23,0.8988
pair_0177,B_degraded,2,1.025,1,2.48,0.7213
pair_0178,B_degraded,3,41.103,0,4.82,0.1753
pair_0179,B_degraded,1,0.114,1,2.38,0.6052
pair_0180,A_nominal,0,0.080,1,2.32,0.7789
pair_0181,B_degraded,1,0.104,1,2.46,0.7468
pair_0182,B_degraded,2,0.142,1,2.45,0.6250
pair_0183,B_degraded,2,0.339,1,2.30,0.6916
pair_0184,B_degraded,2,0.480,1,2.31,0.9415
pair_0185,B_degraded,1,55.460,0,2.50,0.6981
pair_0186,A_nominal,0,0.199,1,2.29,0.7695
pair_0187,A_nominal,0,0.168,1,2.60,0.9479
pair_0188,B_degraded,1,0.091,1,2.33,0.7830
pair_0189,B_degraded,3,314.569,0,4.75,0.2356
pair_0190,B_degraded,2,56.191,0,4.82,0.5321
pair_0191,B_degraded,4,358.670,0,4.74,0.2296
pair_0192,A_nominal,0,0.069,1,2.35,0.9103
pair_0193,B_degraded,3,639.425,0,5.01,0.3561
pair_0194,A_nominal,0,0.078,1,2.43,0.8525
pair_0195,B_degraded,4,446.715,0,5.09,0.2802
pair_0196,B_degraded,4,788.121,0,2.42,0.7429
pair_0197,A_nominal,0,0.267,1,2.38,0.8793
pair_0198,B_degraded,3,978.038,0,5.20,0.4235
pair_0199,B_degraded,3,738.946,1,4.82,0.3597
