pair_id,x,y,theta,scale,found,score
pair_0066,734.500,488.500,-0.656,9.8406,1,0.00047
pair_0067,741.487,94.935,5.265,9.4250,1,0.65297
pair_0068,683.500,772.500,1.219,9.9531,1,0.50000
pair_0069,833.567,385.309,-1.300,9.2031,1,0.71302
pair_0070,0,0,0,0,0,0.96513
pair_0071,673.173,887.207,-3.736,11.1656,1,0.99975
pair_0072,0,0,0,0,0,0.98773
pair_0073,363.434,743.399,-1.199,10.9437,1,0.30066
pair_0074,195.623,604.494,-1.677,8.6687,1,0.81971
pair_0075,220.870,246.701,-1.453,10.0000,1,0.50000
pair_0076,671.282,426.440,-1.705,9.9531,1,0.89068
pair_0077,758.616,270.597,5.194,9.6187,1,0.95999
pair_0078,244.364,347.353,4.295,10.0656,1,0.69468
pair_0079,708.222,362.902,0.299,10.7875,1,0.87214
pair_0080,503.068,789.248,-0.000,10.2907,1,0.00022
pair_0081,483.034,77.197,-4.953,9.9062,1,0.54323
pair_0082,387.546,854.714,-4.049,9.9625,1,0.99488
pair_0083,411.477,377.247,-3.357,8.0000,1,0.56455
pair_0084,117.554,478.371,-4.859,11.3812,1,0.49785
pair_0085,0,0,0,0,0,0.84728
pair_0086,479.991,130.174,-0.783,8.8688,1,0.94813
pair_0087,277.128,704.473,3.344,7.8969,1,0.36132
pair_0088,574.968,332.929,-2.078,11.6281,1,0.99972
pair_0089,0,0,0,0,0,0.96215
pair_0090,197.400,283.297,3.266,10.3812,1,0.36982
pair_0091,274.317,251.628,0.721,10.5938,1,0.99763
pair_0092,348.232,189.863,3.587,11.7656,1,0.87340
pair_0093,452.221,902.042,-0.281,9.8406,1,0.00061
pair_0094,449.916,174.903,1.250,12.2907,1,0.40471
pair_0095,801.397,260.047,1.933,12.2907,1,0.38934
pair_0096,527.775,179.750,2.071,11.3156,1,0.78185
pair_0097,795.036,242.935,-4.709,8.7625,1,0.99998
pair_0098,152.887,883.514,1.396,11.0031,1,0.99991
pair_0099,375.240,177.870,-1.121,8.0750,1,0.99858
pair_0100,0,0,0,0,0,0.92720
pair_0101,890.819,921.185,0.467,11.1656,1,0.84914
pair_0102,525.348,493.837,0.549,12.0000,1,0.52856
pair_0103,0,0,0,0,0,0.90420
pair_0104,159.652,797.063,-0.273,10.9531,1,0.92301
pair_0105,0,0,0,0,0,0.71492
pair_0106,204.282,473.593,-3.679,9.6187,1,0.97761
pair_0107,480.500,117.500,4.919,9.1219,1,0.99744
pair_0108,708.613,186.608,-0.301,11.3250,1,0.99876
pair_0109,129.422,598.833,4.850,8.0156,1,0.97008
pair_0110,523.596,775.457,-0.076,12.0562,1,0.98776
pair_0111,791.890,659.962,-1.334,9.9250,1,0.99558
pair_0112,504.630,749.838,-6.221,9.9531,1,0.25090
pair_0113,382.319,354.648,2.048,9.1750,1,0.99854
pair_0114,345.788,794.497,-2.734,10.5656,1,0.59145
pair_0115,561.000,513.000,5.126,7.7281,1,0.50000
pair_0116,329.933,685.250,-5.006,11.9281,1,0.99669
pair_0117,610.620,806.665,-3.420,9.9531,1,0.50627
pair_0118,0,0,0,0,0,0.91934
pair_0119,826.654,644.878,2.185,9.8406,1,0.56344
