pair_id,x,y,theta,scale,found,score
pair_0059,542.129,234.363,2.526,9.9531,1,0.42664
pair_0060,750.689,846.031,-3.254,11.5000,1,0.96127
pair_0061,521.102,841.288,-0.419,8.2218,1,0.99885
pair_0062,134.460,680.340,-1.345,11.5000,1,0.93544
pair_0063,745.627,767.650,-3.829,12.0562,1,0.55259
pair_0064,247.649,729.541,-1.183,8.6125,1,0.75752
pair_0065,474.042,77.067,-0.922,11.7500,1,0.39251
pair_0066,461.664,151.170,1.219,9.9531,1,0.00014
pair_0067,0,0,0,0,0,0.85513
pair_0068,928.000,894.000,0.828,12.0750,1,0.00063
pair_0069,397.500,949.500,1.453,10.0000,1,0.00110
pair_0070,423.197,400.088,-1.219,9.9531,1,0.50000
pair_0071,548.304,819.591,4.080,11.5125,1,0.60033
pair_0072,743.644,771.392,4.396,11.3625,1,0.99842
pair_0073,906.036,232.336,-2.801,11.1375,1,0.98022
pair_0074,378.368,475.719,4.242,8.6219,1,0.99884
pair_0075,618.759,523.456,2.871,9.9531,1,0.46192
pair_0076,0,0,0,0,0,0.79246
pair_0077,0,0,0,0,0,0.68272
pair_0078,108.039,847.021,-4.832,11.9062,1,0.98958
pair_0079,305.406,226.700,2.966,8.3437,1,0.99389
pair_0080,604.500,50.500,-0.328,9.7750,1,0.00040
pair_0081,0,0,0,0,0,0.97071
pair_0082,0,0,0,0,0,0.98140
pair_0083,104.438,362.584,-2.138,10.1125,1,0.99695
pair_0084,769.964,516.359,3.780,11.4250,1,0.98157
pair_0085,467.090,307.209,3.320,9.5219,1,0.97467
pair_0086,509.619,512.712,5.271,11.5000,1,0.96269
pair_0087,77.921,303.105,-3.421,8.2687,1,0.98175
pair_0088,898.628,455.707,-1.523,9.4187,1,0.99257
pair_0089,182.531,286.665,-3.666,11.0750,1,0.34701
pair_0090,543.832,138.865,-0.372,10.2907,1,0.98825
pair_0091,223.178,238.990,4.359,11.9062,1,0.96443
pair_0092,107.740,774.568,4.612,8.1500,1,0.96628
pair_0093,595.202,658.801,-3.084,10.4282,1,0.99977
pair_0094,84.165,568.065,4.215,10.1844,1,0.91757
pair_0095,267.604,303.109,0.526,9.8312,1,0.99922
pair_0096,659.327,591.891,0.964,11.9062,1,0.99774
pair_0097,131.713,567.552,-4.237,11.5313,1,0.99973
pair_0098,610.513,356.565,4.785,10.0844,1,0.99798
pair_0099,387.957,354.522,3.504,8.6969,1,0.99990
pair_0100,715.591,71.593,-4.404,8.3125,1,0.99994
pair_0101,541.873,207.658,-4.047,11.9062,1,0.95953
pair_0102,396.237,102.113,1.102,11.6312,1,0.85845
pair_0103,253.036,124.103,-1.769,10.9250,1,0.70744
pair_0104,283.106,926.642,-3.132,10.7812,1,0.56544
pair_0105,175.009,524.698,-0.373,11.7438,1,0.98377
pair_0106,175.713,130.617,-3.987,11.2500,1,0.99676
pair_0107,551.151,561.771,-1.791,11.9000,1,0.26767
pair_0108,0,0,0,0,0,0.87082
pair_0109,702.683,550.656,4.761,10.7125,1,0.98212
pair_0110,589.224,790.672,4.665,8.1750,1,0.99990
pair_0111,672.656,396.844,3.465,8.7875,1,0.99956
pair_0112,618.434,859.192,1.323,11.5000,1,0.69052
pair_0113,896.006,265.693,-2.849,8.8688,1,0.44342
pair_0114,0,0,0,0,0,0.99195
pair_0115,422.090,564.855,1.416,8.8813,1,0.73344
pair_0116,730.646,767.428,-2.295,10.3062,1,0.99433
pair_0117,427.139,68.144,3.154,11.9906,1,0.56915
pair_0118,722.629,790.082,-0.893,9.4281,1,0.71945
pair_0119,209.000,113.000,-1.251,8.4000,1,0.35767
