pair_id,reference_path,search_path,tier,style,gt_x,gt_y,pred_x,pred_y,err_px,confidence,peak_score,confidence_regime,runtime_s
pair_0027,pair_0027/reference.png,pair_0027/search.png,severe,finfet,290.0,419.0,287.865,370.511,48.536,0.8034,0.7103,unique_peak,3.374
pair_0028,pair_0028/reference.png,pair_0028/search.png,low,dram,216.5,197.7,217.249,413.494,215.7954,0.9876,0.9774,unique_peak,3.365
pair_0029,pair_0029/reference.png,pair_0029/search.png,medium,finfet,840.8,556.0,839.518,555.496,1.3776,0.9845,0.9718,unique_peak,3.424
pair_0030,pair_0030/reference.png,pair_0030/search.png,high,dram,771.0,122.7,719.616,207.433,99.0957,0.5975,0.7643,tie_break_convention,3.384
pair_0031,pair_0031/reference.png,pair_0031/search.png,severe,finfet,272.5,551.8,269.216,551.334,3.3169,0.8247,0.6812,unique_peak,3.326
pair_0032,pair_0032/reference.png,pair_0032/search.png,low,dram,154.7,829.1,153.709,828.602,1.1093,0.8886,0.9758,unique_peak,3.372
pair_0033,pair_0033/reference.png,pair_0033/search.png,medium,finfet,802.3,130.9,801.615,130.418,0.8375,0.9616,0.9302,unique_peak,3.381
pair_0034,pair_0034/reference.png,pair_0034/search.png,high,dram,843.2,950.0,840.419,949.502,2.8248,0.9763,0.9568,unique_peak,3.287
pair_0035,pair_0035/reference.png,pair_0035/search.png,severe,finfet,559.9,713.6,557.208,694.554,19.235,0.8051,0.6456,unique_peak,3.402
pair_0036,pair_0036/reference.png,pair_0036/search.png,low,dram,548.4,130.3,547.7,129.774,0.8753,0.9712,0.9477,unique_peak,3.416
pair_0037,pair_0037/reference.png,pair_0037/search.png,medium,finfet,701.7,453.9,700.573,477.328,23.4546,0.6826,0.919,tie_break_convention,3.365
pair_0038,pair_0038/reference.png,pair_0038/search.png,high,dram,603.8,911.5,597.648,618.532,293.0323,0.9613,0.9296,unique_peak,3.348
pair_0039,pair_0039/reference.png,pair_0039/search.png,severe,finfet,563.4,442.4,560.906,441.61,2.6159,0.5785,0.7296,tie_break_convention,3.404
